GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
socket,ies.puerto.ejercicio5,Cliente,83,56,5,3,20,14,4,4,1,3
socket,ies.puerto.ejercicio5,ChatServer.ClientHandler,81,0,4,0,23,0,4,0,2,0
socket,ies.puerto.ejercicio5,ChatServer,35,103,0,6,10,21,1,8,1,5
socket,ies.puerto.ejercicio3,Cliente,54,0,2,0,12,0,3,0,2,0
socket,ies.puerto.ejercicio3,Servidor,61,31,4,4,15,7,3,4,1,2
socket,ies.puerto.ejercicio4,Cliente,73,0,4,0,20,0,5,0,3,0
socket,ies.puerto.ejercicio4,ChatServer.ClientHandler,76,0,4,0,21,0,5,0,3,0
socket,ies.puerto.ejercicio4,ChatServer,35,0,0,0,8,0,3,0,3,0
socket,ies.puerto.ejercicio1,Servidor,55,0,2,0,13,0,3,0,2,0
socket,ies.puerto.ejercicio1,Cliente,54,0,2,0,12,0,3,0,2,0
socket,ies.puerto.ejercicio2,Cliente,61,0,4,0,15,0,4,0,2,0
socket,ies.puerto.ejercicio2,Servidor,55,0,2,0,13,0,3,0,2,0
